Designator,Quantity,Vendor,Description,Manufacturer,Value,Part_Number
C1,1,LCSC,"CAP 150uF, 10V SMT",Suncon,150uF,C242018
C2,1,LCSC,CAP 22nF 16V 0402,Samsung,22nF,C318579
H1,1,LCSC,"CONN REPT 4X2 POS .100"" RA",CONNFLY,Female 4X2,C92271
M1,1,Aliexpress,"MTR,LINEAR,SMT",,Linear Motor,shorturl.at/cQ269
"R1, R3, R9, R12, R13",5,LCSC,RES 10K 0402,Uniroyal,10K,C25744
R2,1,LCSC,RES 47K 0402,Uniroyal,47K,C25792
R4,1,LCSC,RES 90.9K 0402,Uniroyal,90.9K,C26989
R5,1,LCSC,RES 4.99K 0402,Uniroyal,4.99K,C25903
"R6, R7",2,LCSC,RES 0.2R 0402,Uniroyal,0.2R,C270629
R8,1,LCSC,RES 1K 0402,Uniroyal,1K,C11702
S1,1,LCSC,"SWITCH DETECT, DUAL, SMD,R/A",Alps,Limit Switch,C231760
"ST1, ST2",2,pemnet.com,STANDOFF PCB RA 440 SMT,PENN,RA Mount,SMTRA440-9-6ET
U1,1,Digi-Key,IC STEPPER MOTOR DRIVER 16-VFQFPN(3x3),ST Micro,,STSPIN220
